0.43862,0.45229,0.33216,1.5944,1.9579,9.0202,2.1043,22.396,11.625,16.651
1.4195,2.2754,2.051,13.557,18.085,3.8326,273.1,110.27,87.125,861.83
7.8754,6.8335,8.7563,4.8008,7.9119,17.087,8.5065,174.61,13186,430.43
15.091,15.786,49.278,184.69,19.363,28.009,38.531,110.08,18944,1513.9
848.56,135.21,23.282,993.59,600.44,7263,391.16,465.42,136.23,30962
73.386,36.767,485.39,132.83,12014,13586,688.75,967.49,1283,932.38
121.35,1109.1,16284,585.41,1577,14210,1019,5188.5,2408.4,1.5552e+06
9481.7,471.97,2704.2,1977.7,1114.6,1503.6,2040,7458.7,14915,3387.8
11838,642.93,6307.2,501.12,522.58,2441.2,31602,1445.9,3.1688e+05,37662
79256,2566.1,578.89,322.23,11003,9470.4,14173,17952,7288.8,6280.8
