0.13352,0.55824,1.5835,3.0805,5.0179,9.3681,15.868,20.256,26.826,34.429
0.14271,0.53026,1.529,2.7197,6.6768,7.2666,11.703,24.82,22.976,26.058
0.16121,0.6005,1.3925,2.9291,5.2547,6.6151,13.33,14.714,35.183,36.695
0.16,0.65578,1.5586,2.9155,6.0748,9.1395,13.325,15.242,23.681,28.871
0.18773,0.67563,1.9415,3.2527,5.7196,10.095,12.231,18.275,31.81,30.863
0.20814,0.80452,1.7269,4.9781,7.8448,8.9157,13.113,18.984,32.306,35.373
0.2627,0.99827,2.1559,4.1712,6.6803,10.036,13.648,21.022,33.437,38.382
0.23694,0.93396,2.7551,4.991,6.858,10.861,16.302,21.686,32.386,34.711
0.24278,0.73817,2.6366,6.0285,8.3291,9.0553,13.48,21.265,47.004,60.396
0.30193,0.92179,1.946,5.5305,11.729,14.289,13.798,22.964,27.406,61.672
