0.24692,0.53404,0.29186,0.6167,0.92336,1.4508,4.2296,2.3306,2.2426,2.5979
2.0137,1.4324,1.4548,3.3961,7.7268,6.458,9.9064,4.9887,8.1687,9.0498
17.235,5.5033,3.4208,9.3224,7.629,30.471,34.16,41.978,21.272,21.792
19.135,21.414,16.932,24.842,24.019,106.9,36.798,34.713,63.198,41.944
15.42,232.44,33.929,55.673,94.413,58.764,52.912,56.133,51.518,86.545
211.12,50.177,51.973,86.032,115.44,201.84,136.49,157.05,130.08,78.36
90.454,321.21,133.77,96.021,257.39,156.3,298.1,228.99,171.8,280.8
528.59,233.28,128.79,233.84,310.5,340.67,124.37,261.85,193.72,246.06
153.63,179.62,180.87,252.46,115.36,484.95,371.64,457.22,252.72,248.69
460.22,278.73,407.51,380.22,433.39,452.71,369.25,474.74,417.13,378.94
